v,tunning,n,dataset,task,params,acc,f1,cm,embeddings,lang,loss,val_loss
_grid,global2 - max-pooling,0.0,b5post,religion,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.4076190476190476,0.3997628712409542,"[[ 48  54  73]
 [ 19  66  90]
 [ 23  52 100]]",nilc-fasttext-100dim,pt,1.0530054712450352,1.0425211704439588
_grid,global2 - max-pooling,0.0,b5post,it,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.6258389261744967,0.6210499904484115,"[[153 145]
 [ 78 220]]",nilc-fasttext-100dim,pt,0.6856917813309111,0.703515687957406
_grid,embeddings,0.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.7021276595744681,0.7006218088064304,"[[178 104]
 [ 64 218]]",nilc-fasttext-100dim,pt,0.4955995422503365,0.5751918418066843
_grid,embeddings,1.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 300, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.6643598615916955,0.6631944444444444,"[[209  80]
 [114 175]]",nilc-fasttext-100dim,pt,0.6624268098596737,0.6873945267871022
_grid,embeddings,2.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 600, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.6649122807017543,0.6583495209612784,"[[229  56]
 [135 150]]",nilc-fasttext-100dim,pt,0.6637783198293542,0.6823787592706226
_grid,embeddings,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.3686534216335541,0.3377958547088053,"[[104  27  20]
 [ 98  27  26]
 [ 97  18  36]]",nilc-fasttext-100dim,pt,0.9974458648585806,1.1396074919473556
_grid,embeddings,1.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 300, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.3885209713024281,0.363575579070839,"[[103  28  20]
 [ 86  31  34]
 [ 74  35  42]]",nilc-fasttext-100dim,pt,1.1427644739548364,1.1221211783233145
_grid,embeddings,2.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 600, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.4525386313465784,0.448103782329774,"[[51 70 30]
 [26 91 34]
 [18 70 63]]",nilc-fasttext-100dim,pt,1.1241843539816,1.0590865895861672
_grid,embeddings,0.0,b5post,religion,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.4133333333333333,0.3922088220712581,"[[94 65 16]
 [46 95 34]
 [49 98 28]]",nilc-fasttext-100dim,pt,1.0372142775082274,1.1252355211310916
_grid,embeddings,1.0,b5post,religion,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 300, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.4342857142857143,0.4048679166162381,"[[ 86  17  72]
 [ 28  24 123]
 [ 37  20 118]]",nilc-fasttext-100dim,pt,1.2264052819738709,1.2506281435489657
