acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.5767985195466111,"[[1907  429  546]
 [ 725  458 1699]
 [  28  232 2622]]",pan13,0.5312914839940821,15.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 413, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9033796628281736,0.8868897456552018
0.6003808163751041,"[[2011  537  253]
 [ 724 1228  849]
 [ 108  887 1806]]",pan13,0.5985648929229082,16.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 69322, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.8861271764602886,0.8363609533200319
0.5091770278271166,"[[1012 1220  583]
 [ 278 1104 1433]
 [   8  623 2184]]",pan13,0.4993214063811093,17.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 411, 'embedding_dim': 100, 'max_num_words': 70947, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9128779408563188,0.9238306650226352
0.6131078224101479,"[[1957  418  463]
 [ 667  814 1357]
 [  41  348 2449]]",pan13,0.5896402075062254,18.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [50, 50, 50], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.8981146406873793,0.8744541444922939
0.6043293115684882,"[[1966  562  290]
 [ 606 1141 1071]
 [  39  777 2002]]",pan13,0.6009262691542557,19.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [50, 50, 50], 'n_classes': 3, 'max_seq_length': 412, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.8922618003422871,0.910143089323228
0.6140227459256654,"[[2066  482  295]
 [ 814 1029 1000]
 [  54  647 2142]]",pan13,0.6029778104604727,20.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [50, 50, 50], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.865462805048313,0.8286390731868134
0.5797205302758868,"[[1998  526  267]
 [ 749 1125  917]
 [  79  981 1731]]",pan13,0.5776803486402059,21.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [50, 50, 50], 'n_classes': 3, 'max_seq_length': 414, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.90909646364857,0.8991721795408378
0.5965721040189125,"[[1958  626  236]
 [ 674 1247  899]
 [  47  931 1842]]",pan13,0.5970290712885977,22.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [50, 50, 50], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 69345, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.885269069909955,0.8482987851887704
0.5499470525944229,"[[2189  281  363]
 [ 913  692 1228]
 [ 243  797 1793]]",pan13,0.5287075270029857,23.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [50, 50, 50], 'n_classes': 3, 'max_seq_length': 418, 'embedding_dim': 100, 'max_num_words': 70222, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.8871560696987968,0.8457331220166515
0.4576765907764157,"[[ 706 1373  776]
 [ 216 1723  916]
 [  13 1351 1491]]",pan13,0.4461190032371361,24.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8, 9], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9661433908232849,0.9173883237385017
